"reference_date","report_date",".group","max_confirm","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q1","q2.5","q10","q25","q50","q75","q90","q97.5","q99","rhat","ess_bulk","ess_tail","value_target","wis","test_date","elapsed_time"
2021-03-18,2021-03-31,1,1558,1558,1,12,0,1560.0595,1560,0.244928040192295,0,1560,1560,1560,1560,1560,1560,1560,1561,1561,0.999655254114904,2037.37927974577,2013.45706523184,1557.85714285714,0.00137867045327049,2021-04-01,140.648999999999
2021-03-19,2021-04-01,1,1602,1602,1,12,0,1603.053,1603,0.234986402382465,0,1603,1603,1603,1603,1603,1603,1603,1604,1604,0.999964605233617,1911.4728949314,1933.42443150763,1602.14285714286,0.000539368648591389,2021-04-01,140.648999999999
2021-03-20,2021-04-01,1,1625,1625,1,11,0,1627.163,1627,0.428395566481126,0,1627,1627,1627,1627,1627,1627,1628,1628,1629,1.00067456086562,2113.26906934791,1938.20042284013,1625.28571428571,0.001073341454186,2021-04-01,140.648999999999
2021-03-21,2021-04-01,1,1656,1656,1,10,0,1659.297,1659,0.569168671386819,0,1659,1659,1659,1659,1659,1659,1660,1661,1661,1.00266359057705,1880.24176975821,1858.21464656309,1656.57142857143,0.00148681408469754,2021-04-01,140.648999999999
2021-03-22,2021-04-01,1,1708,1708,1,9,0.000585480093676815,1710.5105,1710,0.770835159694811,0,1710,1710,1710,1710,1710,1711,1711.1,1712,1713,0.999769088010212,1928.55734079383,1894.36218366026,1711.71428571429,0.000340807904441466,2021-04-01,140.648999999999
2021-03-23,2021-04-01,1,1752,1752,1,8,0.000570776255707763,1754.1525,1754,1.17938086283009,1.4826,1753,1753,1753,1753,1754,1755,1756,1757,1758,1.00092089539007,1836.1705280971,1740.98638262566,1755.71428571429,0.000319122938392938,2021-04-01,140.648999999999
2021-03-24,2021-04-01,1,1813,1813,1,7,0.00110314396028682,1815.2315,1815,1.8323718354285,1.4826,1813,1813,1813,1814,1815,1816,1818,1819,1821,1.00072026750386,2058.65280212586,2049.58501029793,1816.14285714286,0.000237850488080574,2021-04-01,140.648999999999
2021-03-25,2021-04-01,1,1878,1878,1,6,0.00212992545260916,1882.0025,1882,2.70058147815616,2.9652,1878,1878,1879,1880,1882,1883,1886,1888,1890,1.000013631647,1933.3500205094,1983.68714519654,1883.14285714286,0.000299024777533568,2021-04-01,140.648999999999
2021-03-26,2021-04-01,1,1931,1931,1,5,0.00362506473329881,1938.4275,1938,4.29685643670099,4.4478,1932,1932,1934,1935,1938,1941,1944,1949,1952,0.999816544962246,2037.3529177902,1791.65040482821,1939.42857142857,0.000439809311163506,2021-04-01,140.648999999999
2021-03-27,2021-04-01,1,1954,1954,1,4,0.00511770726714432,1968.2025,1967,7.61390041238687,5.9304,1956.99,1958,1960,1963,1967,1972,1978,1987,1992,0.999235238326744,1980.12342403005,1765.46185313706,1962.85714285714,0.000828382575489205,2021-04-01,140.648999999999
2021-03-28,2021-04-01,1,1964,1964,1,3,0.0157841140529532,1984.5415,1983,10.8380814609818,10.3782,1968,1970,1973,1977,1983,1990,1999,2011,2019,0.999763675335426,1778.47512569166,1940.45604048629,1974,0.00166839661038141,2021-04-01,140.648999999999
2021-03-29,2021-04-01,1,1972,1972,1,2,0.0664300202839757,2014.5795,2010,22.905327038778,20.7564,1981,1984,1990,1998,2010,2025,2045,2073,2091.01,1.0004995979714,1647.27690863189,1728.94143353454,2005.14285714286,0.00198330001052738,2021-04-01,140.648999999999
2021-03-30,2021-04-01,1,1888,1888,1,1,0.172139830508475,2020.159,2003,76.7016576818622,63.7518,1917.99,1924.975,1941,1966,2003,2058,2116,2219,2288.02,1.00096983600661,2125.84002787431,1797.79466497303,2032.28571428571,0.0072499874642128,2021-04-01,140.648999999999
2021-03-31,2021-04-01,1,1588,1588,1,0,1,2484.1615,2327,660.066776540447,495.1884,1716,1751.975,1861,2027.75,2327,2745.75,3296,4204.15,5070.15,0.999573970644325,2114.38975216266,1838.83784966273,2040.14285714286,0.0514089834337485,2021-04-01,140.648999999999
2021-03-25,2021-04-07,1,1883,1882,0.999468932554434,12,0,1883.076,1883,0.279755485318483,0,1883,1883,1883,1883,1883,1883,1883,1884,1884,1.0023568458693,2086.7519748992,2021.65257782092,1883.14285714286,4.62514781699201e-05,2021-04-08,151.072999999999
2021-03-26,2021-04-08,1,1940,1940,1,12,0.00103092783505155,1940.075,1940,0.276429388096316,0,1940,1940,1940,1940,1940,1940,1940,1941,1941,0.999684078412704,2093.98762562887,2021.26008082147,1939.42857142857,0.00029844846825121,2021-04-08,151.072999999999
2021-03-27,2021-04-08,1,1963,1963,1,11,0.00101884870096791,1963.2395,1963,0.530358737266663,0,1963,1963,1963,1963,1963,1963,1964,1965,1965,1.00028527258788,1965.73614216783,1964.7880076855,1962.85714285714,9.19687097810959e-05,2021-04-08,151.072999999999
2021-03-28,2021-04-08,1,1974,1974,1,10,0.00101317122593718,1974.3825,1974,0.662127598336031,0,1974,1974,1974,1974,1974,1975,1975,1976,1977,1.00002001707921,1996.05426809163,1965.34346558442,1974,4.83671855035104e-05,2021-04-08,151.072999999999
2021-03-29,2021-04-08,1,2005,2005,1,9,0.000997506234413965,2005.6315,2005,0.868380557357325,0,2005,2005,2005,2005,2005,2006,2007,2008,2008,0.999052254222482,2172.29940279297,2108.54322888663,2005.14285714286,6.93680807418347e-05,2021-04-08,151.072999999999
2021-03-30,2021-04-08,1,2032,2032,1,8,0.000984251968503937,2033.286,2033,1.30539497011975,1.4826,2032,2032,2032,2032,2033,2034,2035,2036,2037.01,0.999959767600184,1973.62245221931,1855.34050060964,2032.28571428571,0.000142810643775402,2021-04-08,151.072999999999
2021-03-31,2021-04-08,1,2040,2040,1,7,0.00147058823529412,2042.5285,2042,1.93081634960134,1.4826,2040,2040,2040,2041,2042,2044,2045,2047,2049,0.999429666330152,1973.60342805918,1882.52818924691,2040.14285714286,0.000359079006039814,2021-04-08,151.072999999999
2021-04-01,2021-04-08,1,2019,2019,1,6,0.00198117880138683,2023.587,2023,2.94835163925446,2.9652,2019,2019,2020,2021,2023,2025,2027,2030.025,2033,1.0013130048279,1989.62494015718,1928.44785038351,2020.57142857143,0.000412724743634362,2021-04-08,151.072999999999
2021-04-02,2021-04-08,1,1979,1979,1,5,0.00252652854977261,1987.241,1986.5,4.68485783631404,3.7065,1980,1981,1982,1984,1986.5,1990,1993,1998,2001.01,1.00015725123837,2022.73111252602,1863.642775047,1983.14285714286,0.000645312467122676,2021-04-08,151.072999999999
2021-04-03,2021-04-08,1,1958,1958,1,3,0.00408580183861083,1988.135,1985,16.6510481262247,13.3434,1963.99,1966,1971,1977,1985,1996,2011,2029,2044,0.999975921358943,2162.67208293679,1729.44652080946,1965.14285714286,0.00445171975326602,2021-04-08,151.072999999999
2021-04-04,2021-04-08,1,1904,1904,1,3,0.0105042016806723,1923.3275,1921,10.611576062172,8.8956,1907,1909,1912,1916,1921,1929,1937,1949,1958,1.0000087027703,1925.21006201801,1685.14725252028,1912.71428571429,0.00169901476872146,2021-04-08,151.072999999999
2021-04-05,2021-04-08,1,1853,1853,1,2,0.043712898003238,1894.3615,1890,23.2572196722532,19.2738,1862,1865,1871,1878,1890,1905,1922.1,1947.025,1971.02,1.00055671042272,2183.12488761579,1931.97225120862,1895.57142857143,0.00208334092573974,2021-04-08,151.072999999999
2021-04-06,2021-04-08,1,1724,1724,1,1,0.143271461716937,1852.699,1837,75.071454366026,63.7518,1749,1755,1775,1799,1837,1890,1951,2043,2080.06,1.00097564462631,1935.66290181448,1842.40872753743,1874.42857142857,0.00830840583930493,2021-04-08,151.072999999999
2021-04-07,2021-04-08,1,1419,1419,1,0,1,2283.796,2098,680.187280645835,490.7406,1532.98,1572.975,1680,1817.75,2098,2545,3043.7,4042.275,4643.22,0.999947110212133,2026.78605483893,1892.66839642133,1856.57142857143,0.0531676122552598,2021-04-08,151.072999999999
2021-04-01,2021-04-14,1,2021,2021,1,12,0,2022.0705,2022,0.267517350402517,0,2022,2022,2022,2022,2022,2022,2022,2023,2023,1.00165967799589,1701.42144802343,1684.34688609037,2020.57142857143,0.000710257995884156,2021-04-15,161.726000000001
2021-04-02,2021-04-15,1,1981,1981,1,12,-0.000504795557799091,1984.063,1984,0.251122542328705,0,1984,1984,1984,1984,1984,1984,1984,1985,1985,0.999454282345252,1998.18593816944,1980.19246068791,1983.14285714286,0.000435820549702332,2021-04-15,161.726000000001
2021-04-03,2021-04-15,1,1963,1963,1,10,0,1966.389,1966,0.658707786483506,0,1966,1966,1966,1966,1966,1967,1967,1968,1969,0.9991056243596,1958.5228346605,1866.51298977602,1965.14285714286,0.000484420302122647,2021-04-15,161.726000000001
2021-04-04,2021-04-15,1,1911,1911,1,10,0,1913.265,1913,0.531898917303948,0,1913,1913,1913,1913,1913,1913,1914,1915,1915,0.999065744607564,1938.16762654824,1825.09593484603,1912.71428571429,0.000169017484851851,2021-04-15,161.726000000001
2021-04-05,2021-04-15,1,1894,1894,1,9,0,1897.458,1897,0.722147317639674,0,1897,1897,1897,1897,1897,1898,1898,1899,1900,0.999580517389987,1855.28404692405,1801.67405649886,1895.57142857143,0.000803284131464119,2021-04-15,161.726000000001
2021-04-06,2021-04-15,1,1873,1873,1,8,0,1875.983,1876,1.09649995717194,1.4826,1875,1875,1875,1875,1876,1876,1877,1879,1879.01,1.00182947278994,2019.36536398858,1903.63682254778,1874.42857142857,0.000433720050630218,2021-04-15,161.726000000001
2021-04-07,2021-04-15,1,1853,1853,1,7,0,1855.8165,1856,1.57036963177151,1.4826,1854,1854,1854,1855,1856,1857,1858,1860,1861,0.999926686634863,1923.37412120918,1863.72455983005,1856.57142857143,0.000168196436560755,2021-04-15,161.726000000001
2021-04-08,2021-04-15,1,1844,1844,1,6,0,1847.482,1847,2.44062580646104,1.4826,1844,1844,1845,1846,1847,1849,1851,1853,1855,1.00103764554362,1884.16357608232,1747.94827597883,1849.42857142857,0.000399914629297275,2021-04-15,161.726000000001
2021-04-09,2021-04-15,1,1845,1845,1,5,0.000542005420054201,1851.46,1851,3.88728124500129,2.9652,1845,1846,1847,1849,1851,1853,1857,1861,1863,0.99948766423386,2078.06363018696,1981.41422515852,1851.71428571429,0.000349261335666064,2021-04-15,161.726000000001
2021-04-10,2021-04-15,1,1859,1859,1,4,0.00268961807423346,1870.6905,1870,6.46115957406415,5.9304,1861,1861,1863.9,1866,1870,1874,1879,1886,1889.01,1.00112792661257,1924.62074544843,1756.12927191806,1867.42857142857,0.000676838374411205,2021-04-15,161.726000000001
2021-04-11,2021-04-15,1,1884,1884,1,3,0.0116772823779193,1901.14,1899,9.52027929521655,7.413,1887,1888,1891,1894,1899,1906,1914,1925,1931,1.00050969563826,1992.37430789307,1906.18201744777,1893.42857142857,0.00117148159638123,2021-04-15,161.726000000001
2021-04-12,2021-04-15,1,1814,1814,1,2,0.0501653803748622,1850.309,1846,19.9267171412657,16.3086,1822,1824,1830,1836,1846,1860,1876,1898,1919,1.00010524219662,2287.56521147009,1902.49117128161,1855.28571428571,0.00216573914761459,2021-04-15,161.726000000001
2021-04-13,2021-04-15,1,1683,1683,1,1,0.144979203802733,1799.9175,1784,70.2499553157219,57.8214,1706.99,1712,1728,1750,1784,1831,1892,1976.1,2055.02,1.00057623633104,1899.83046773473,1774.35947448467,1816.71428571429,0.00775269901495703,2021-04-15,161.726000000001
2021-04-14,2021-04-15,1,1395,1395,1,0,1,2214.4085,2047,633.706103284811,481.1037,1493.99,1524.975,1628.9,1775.75,2047,2468.25,3031.1,3814.575,4568.03,1.00051045211132,1887.86694828639,1825.50447473416,1766.28571428571,0.0572198854132674,2021-04-15,161.726000000001
2021-04-08,2021-04-21,1,1849,1849,1,12,0,1849.0595,1849,0.25098056821757,0,1849,1849,1849,1849,1849,1849,1849,1850,1850,0.99991296714231,2010.64104851558,2006.71786511774,1849.42857142857,0.000132888291992985,2021-04-22,169.528
2021-04-09,2021-04-22,1,1852,1852,1,12,0.000539956803455724,1852.058,1852,0.246305365687767,0,1852,1852,1852,1852,1852,1852,1852,1853,1853,1.00035595514997,2138.45599752647,2014.81611407139,1851.71428571429,0.000158398270355088,2021-04-22,169.528
2021-04-10,2021-04-22,1,1866,1866,1,11,0.000535905680600214,1867.185,1867,0.44030890970771,0,1867,1867,1867,1867,1867,1867,1868,1868,1869,0.999411740325364,2099.53004870694,2091.06909094503,1867.42857142857,9.371154700441e-05,2021-04-22,169.528
2021-04-11,2021-04-22,1,1892,1892,1,10,0.000528541226215645,1892.2815,1892,0.549917225114146,0,1892,1892,1892,1892,1892,1892,1893,1894,1894,1.00094064500471,2016.70999475605,1845.72527204851,1893.42857142857,0.000321686015583496,2021-04-22,169.528
2021-04-12,2021-04-22,1,1854,1854,1,9,0.000539374325782093,1855.494,1855,0.73975510732229,0,1855,1855,1855,1855,1855,1856,1856,1857,1858,0.999431215481121,1997.45980267932,1994.92744033033,1855.28571428571,6.85704924993994e-05,2021-04-22,169.528
2021-04-13,2021-04-22,1,1816,1816,1,8,0.00110132158590308,1817.0035,1817,1.09090915817759,1.4826,1816,1816,1816,1816,1817,1818,1818,1820,1820,1.0010175725997,2006.42767672741,2007.34318613587,1816.71428571429,0.00012013097802965,2021-04-22,169.528
2021-04-14,2021-04-22,1,1764,1764,1,7,0.00113378684807256,1765.756,1765,1.59239814931219,1.4826,1764,1764,1764,1765,1765,1767,1768,1770,1771,1.00056991905693,1912.12375398883,2033.89377955139,1766.28571428571,0.000221699475072732,2021-04-22,169.528
2021-04-15,2021-04-22,1,1690,1690,1,6,0.000591715976331361,1693.0235,1693,2.22810007966034,1.4826,1690,1690,1691,1691,1693,1694,1696,1698,1700,1.00100202840897,1930.35438707184,1856.78943557891,1691.57142857143,0.000297051851788067,2021-04-22,169.528
2021-04-16,2021-04-22,1,1617,1617,1,5,0.00123685837971552,1622.5315,1622,3.41962785655671,2.9652,1617,1618,1619,1620,1622,1624,1627,1631,1633,1.00052298910121,1947.275552499,1659.97404331472,1619.42857142857,0.000567219256044666,2021-04-22,169.528
2021-04-17,2021-04-22,1,1573,1573,1,4,0.00317863954227591,1582.524,1582,5.24587300568707,4.4478,1574,1575,1577,1579,1582,1585,1589,1596,1599.01,0.999954030276538,2127.40485156622,1836.60205582706,1576.42857142857,0.00132166429652323,2021-04-22,169.528
2021-04-18,2021-04-22,1,1551,1551,1,3,0.011605415860735,1565.0435,1563,8.14817796516967,7.413,1553,1554,1556,1559,1563,1569,1576,1586,1592,1.00085295720008,1806.21046763292,1689.82219257839,1554.42857142857,0.00229403348121962,2021-04-22,169.528
2021-04-19,2021-04-22,1,1435,1435,1,2,0.0480836236933798,1465.2295,1462,16.7353477909137,14.826,1441,1443,1447,1453,1462,1474,1487,1505,1518,1.00094800012897,1848.11225400027,1649.1151092669,1457.85714285714,0.00206643707601543,2021-04-22,169.528
2021-04-20,2021-04-22,1,1298,1298,1,1,0.145608628659476,1390.9,1379,55.612492973138,47.4432,1316.99,1321.975,1334,1350,1379,1417,1462.1,1530,1574.03,1.00155483537238,2092.60544794911,1805.73528570624,1394.28571428571,0.00715637386039782,2021-04-22,169.528
