"time_value","estimate","lower","upper","onset_date","n.reported","issue_date","elapsed_time","geo_value","value_target","target_date","wis"
2014-01-04,28709,28709,28709,2014-01-04,28709,2014-07-05,6.00400000000081,"nat",28709,2014-07-05,0
2014-01-11,28121,28107,28138,2014-01-11,28082,2014-07-05,6.00400000000081,"nat",28089,2014-07-12,0.000824948512058891
2014-01-18,28648,28628,28671,2014-01-18,28568,2014-07-05,6.00400000000081,"nat",28575,2014-07-19,0.00211078233209398
2014-01-25,25514,25494,25537,2014-01-25,25424,2014-07-05,6.00400000000081,"nat",25432,2014-07-26,0.00272428420846108
2014-02-01,23467,23445,23492,2014-02-01,23366,2014-07-05,6.00400000000081,"nat",23463,2014-08-02,9.01964592758968e-05
2014-02-08,21155,21133,21179,2014-02-08,21055,2014-07-05,6.00400000000081,"nat",21146,2014-08-09,0.000178070950535503
2014-02-15,18190,18169,18213,2014-02-15,18097,2014-07-05,6.00400000000081,"nat",18197,2014-08-16,0.00016855466376553
2014-02-22,17200,17180,17223,2014-02-22,17105,2014-07-05,6.00400000000081,"nat",17195,2014-08-23,0.000138568309776706
2014-03-01,15919,15898,15941,2014-03-01,15826,2014-07-05,6.00400000000081,"nat",15913,2014-08-30,0.000170667184283868
2014-03-08,15046,15026,15068,2014-03-08,14952,2014-07-05,6.00400000000081,"nat",15027,2014-09-06,0.000467687194880195
2014-03-15,13930,13909,13951.025,2014-03-15,13838,2014-07-05,6.00400000000081,"nat",13989,2014-09-13,0.00327110263894061
2014-03-22,14872,14850,14895,2014-03-22,14769,2014-07-05,6.00400000000081,"nat",14927,2014-09-20,0.00271142616979203
2014-03-29,14677,14656,14701,2014-03-29,14569,2014-07-05,6.00400000000081,"nat",14670,2014-09-27,0.000210097686899739
2014-04-05,14613,14590,14637,2014-04-05,14498,2014-07-05,6.00400000000081,"nat",14617,2014-10-04,0.000144824011343718
2014-04-12,14199,14176,14223,2014-04-12,14078,2014-07-05,6.00400000000081,"nat",14210,2014-10-11,0.000313278428104298
2014-04-19,11663,11642,11687,2014-04-19,11551,2014-07-05,6.00400000000081,"nat",11732,2014-10-18,0.00459216861034593
2014-04-26,10736,10715,10759,2014-04-26,10625,2014-07-05,6.00400000000081,"nat",10817,2014-10-25,0.0061574301936654
2014-05-03,9632,9611,9655,2014-05-03,9519,2014-07-05,6.00400000000081,"nat",9690,2014-11-01,0.00448918206244757
2014-05-10,9707,9685,9732,2014-05-10,9577,2014-07-05,6.00400000000081,"nat",9737,2014-11-08,0.00145155666720849
2014-05-17,8986,8962,9011,2014-05-17,8846,2014-07-05,6.00400000000081,"nat",9010,2014-11-15,0.000979855362134637
2014-05-24,8618,8593,8645,2014-05-24,8462,2014-07-05,6.00400000000081,"nat",8774,2014-11-22,0.0159530973147599
2014-05-31,7548,7522,7575,2014-05-31,7382,2014-07-05,6.00400000000081,"nat",7628,2014-11-29,0.00827850915484044
2014-06-07,7157,7129,7186,2014-06-07,6971,2014-07-05,6.00400000000081,"nat",7256,2014-12-06,0.011173133924853
2014-06-14,6606,6577,6637,2014-06-14,6381,2014-07-05,6.00400000000081,"nat",6745,2014-12-13,0.0178506961838694
2014-06-21,6311,6275,6347,2014-06-21,5998,2014-07-05,6.00400000000081,"nat",6353,2014-12-20,0.00303058901991505
2014-06-28,5910,5865,5956,2014-06-28,5427,2014-07-05,6.00400000000081,"nat",6023,2014-12-27,0.0140250512540026
2014-07-05,4783,4721,4846,2014-07-05,3955,2014-07-05,6.00400000000081,"nat",5365,2015-01-03,0.106519233848494
2014-01-11,28089,28089,28089,2014-01-11,28089,2014-07-12,5.8640000000014,"nat",28089,2014-07-12,0
2014-01-18,28592,28586,28600,2014-01-18,28580,2014-07-12,5.8640000000014,"nat",28575,2014-07-19,0.000462979090141591
2014-01-25,25482,25467,25499,2014-01-25,25432,2014-07-12,5.8640000000014,"nat",25432,2014-07-26,0.00159241395238506
2014-02-01,23522,23505,23542,2014-02-01,23454,2014-07-12,5.8640000000014,"nat",23463,2014-08-02,0.00205557591512656
2014-02-08,21231,21210,21255,2014-02-08,21138,2014-07-12,5.8640000000014,"nat",21146,2014-08-09,0.00338703931849631
2014-02-15,18271,18250,18295,2014-02-15,18172,2014-07-12,5.8640000000014,"nat",18197,2014-08-16,0.00333253831649998
2014-02-22,17283,17260,17307,2014-02-22,17174,2014-07-12,5.8640000000014,"nat",17195,2014-08-23,0.0042620083415307
2014-03-01,16022,16000,16047,2014-03-01,15908,2014-07-12,5.8640000000014,"nat",15913,2014-08-30,0.00595886875994391
2014-03-08,15140,15117,15164,2014-03-08,15021,2014-07-12,5.8640000000014,"nat",15027,2014-09-06,0.00652942978152131
2014-03-15,14029,14006,14054.025,2014-03-15,13908,2014-07-12,5.8640000000014,"nat",13989,2014-09-13,0.00181835877244749
2014-03-22,14976,14951,15002,2014-03-22,14836,2014-07-12,5.8640000000014,"nat",14927,2014-09-20,0.00222005151646538
2014-03-29,14740,14714,14767,2014-03-29,14593,2014-07-12,5.8640000000014,"nat",14670,2014-09-27,0.00364299558908157
2014-04-05,14706,14680,14734,2014-04-05,14553,2014-07-12,5.8640000000014,"nat",14617,2014-10-04,0.00495149600994678
2014-04-12,14277,14251,14304,2014-04-12,14119,2014-07-12,5.8640000000014,"nat",14210,2014-10-11,0.00355034755873245
2014-04-19,11747,11723,11772,2014-04-19,11606,2014-07-12,5.8640000000014,"nat",11732,2014-10-18,0.00049538881908567
2014-04-26,10814,10790,10839,2014-04-26,10670,2014-07-12,5.8640000000014,"nat",10817,2014-10-25,0.000167960391902759
2014-05-03,9724,9700,9749,2014-05-03,9585,2014-07-12,5.8640000000014,"nat",9690,2014-11-01,0.0019389639356976
2014-05-10,9809,9784,9836,2014-05-10,9653,2014-07-12,5.8640000000014,"nat",9737,2014-11-08,0.00575373709198406
2014-05-17,9062,9036,9089,2014-05-17,8899,2014-07-12,5.8640000000014,"nat",9010,2014-11-15,0.00393631183901834
2014-05-24,8669,8642,8696,2014-05-24,8492,2014-07-12,5.8640000000014,"nat",8774,2014-11-22,0.0100688865799785
2014-05-31,7581,7555,7609,2014-05-31,7405,2014-07-12,5.8640000000014,"nat",7628,2014-11-29,0.00384100853155423
2014-06-07,7215,7187,7244,2014-06-07,7019,2014-07-12,5.8640000000014,"nat",7256,2014-12-06,0.00312351897498404
